country,cf_wind,cf_solar,hours,wind_mw,solar_mw,battery_mw,battery_per_dc,hours_matched,energy_matched,curtailed_share,eur_per_mwh,grid_price,cap_mw
at,0.24065848829770806,0.07456855858255866,8760,823.5779448142777,1000.0,366.7451585371806,1.4669806341487224,0.6501141552511416,0.7811207714354944,0.2696892616705274,152.0294033628548,300.0,1000.0
at,0.24065848829770806,0.07456855858255866,8760,738.6533307367969,1245.4961428980218,463.82869568782,1.8553147827512801,0.6858447488584475,0.7996424520534104,0.24264932318264892,151.16444193457502,300.0,inf
be,0.1999162024141133,0.10819027373803716,8760,843.5314244076765,1000.0,435.80111885845344,1.7432044754338138,0.7478310502283105,0.8566250614133648,0.2070562960705307,133.58524755379526,300.0,1000.0
be,0.1999162024141133,0.10819027373803716,8760,767.3670565257326,1237.8488935962573,499.4164402666273,1.9976657610665092,0.7818493150684932,0.8732813566905302,0.21759246306817212,132.15262859145548,300.0,inf
bg,0.20633602866565195,0.1095469009081401,8760,813.4157299519576,1000.0,338.1654180897666,1.3526616723590663,0.7345890410958904,0.8654114661310466,0.20449682199407168,124.88945501892248,300.0,1000.0
bg,0.20633602866565195,0.1095469009081401,8760,529.7527379215647,1741.2750135927151,474.6319615061741,1.8985278460246964,0.8345890410958904,0.9099271129941318,0.21795025768497367,117.21234854635141,300.0,inf
cz,0.2126927947007931,0.10681636050356816,8760,915.8833453844298,996.2122345836545,400.8788913746874,1.6035155654987496,0.7696347031963471,0.8846037250553115,0.2509872206641972,127.81090429882639,300.0,1000.0
cz,0.2126927947007931,0.10681636050356816,8760,915.8833453844302,996.2122345836544,400.87889137468744,1.6035155654987499,0.7696347031963471,0.8846037250553116,0.2509872206641972,127.81090429882639,300.0,inf
de,0.18624861171710103,0.08126928185507784,8760,1000.0,1000.0,305.68185532021135,1.2227274212808454,0.7091324200913242,0.8596569897714825,0.18341947841256098,136.11816796881655,300.0,1000.0
de,0.18624861171710103,0.08126928185507784,8760,944.7926797803564,1259.0845986692805,414.984855359463,1.659939421437852,0.7699771689497716,0.8881550987217106,0.18453760420389448,134.83759684049446,300.0,inf
de,0.18624861171710103,0.08126928185507784,8760,757.5815923034079,636.2138655009844,24.373509453521613,0.09749403781408646,0.31723744292237444,0.6836124266211434,0.11178858864147147,106.89879257987872,150.0,1000.0
de,0.18624861171710103,0.08126928185507784,8760,1000.0,1000.0,854.2639259003539,3.4170557036014158,0.7856164383561643,0.8974300381877172,0.14240101858679682,220.72003460585762,1000.0,1000.0
dk,0.4026170769928657,0.19748536682982432,8083,628.9584947681774,606.5708051843243,364.45023603813763,1.4578009441525506,0.8526537176790796,0.9224494516731703,0.37031416804369505,89.48023240151512,300.0,1000.0
dk,0.4026170769928657,0.19748536682982432,8083,628.9584947681774,606.5708051843243,364.45023603813763,1.4578009441525506,0.8526537176790796,0.9224494516731703,0.37031416804369505,89.48023240151512,300.0,inf
ee,0.2022249119133094,0.11005997799656896,8720,877.167438044914,1000.0,359.6269017378157,1.4385076069512628,0.7094036697247706,0.8351885877041823,0.25912836842272097,138.63555878067532,300.0,1000.0
ee,0.2022249119133094,0.11005997799656896,8720,835.3853832392422,1108.71511655625,386.54592413634407,1.5461836965453764,0.719954128440367,0.8395462493501555,0.26308373784843536,138.45415874198935,300.0,inf
es,0.19604492334536447,0.16143933707844116,8760,640.5001704379679,1000.0,440.33287495080396,1.761331499803216,0.8759132420091325,0.9318665124530003,0.16319143646425552,99.31712008019949,300.0,1000.0
es,0.19604492334536447,0.16143933707844116,8760,547.4161739799121,1224.4328675074976,512.6310015265021,2.0505240061060084,0.9020547945205479,0.9443783902862048,0.19617037000593313,98.22367194085146,300.0,inf
es,0.19604492334536447,0.16143933707844116,8760,546.9024339731752,866.5969088609195,282.54929501131414,1.1301971800452566,0.7277397260273972,0.8522222548927639,0.11493635804893727,85.68629165252807,150.0,1000.0
es,0.19604492334536447,0.16143933707844116,8760,972.7160401939722,1000.0,541.3131479904945,2.165252591961978,0.954337899543379,0.9769224739799993,0.291838623759687,125.86086841605042,1000.0,1000.0
fi,0.2580534708986102,0.11677662062917318,8737,779.1665051956785,810.0552930751089,290.2297173662995,1.160918869465198,0.727824195948266,0.8467310057626928,0.2744783058062179,122.20321334200898,300.0,1000.0
fi,0.2580534708986102,0.11677662062917318,8737,779.1665051956785,810.0552930751089,290.2297173662995,1.160918869465198,0.727824195948266,0.8467310057626928,0.2744783058062179,122.20321334200898,300.0,inf
fr,0.2169097665325335,0.13545161306016704,8731,727.9856896034291,1000.0,469.6426788051333,1.878570715220533,0.8673691444279006,0.9328149965740322,0.1820312095182236,105.44760252502621,300.0,1000.0
fr,0.2169097665325335,0.13545161306016704,8731,663.7733515680793,1143.476297025691,506.24318322076897,2.024972732883076,0.8809987401214064,0.9375452983227565,0.19005414717038133,105.0302469619335,300.0,inf
fr,0.2169097665325335,0.13545161306016704,8731,607.4578909959462,753.2126259227696,218.92777516350634,0.8757111006540254,0.6244416447142366,0.808782891258641,0.1186560692137433,90.45883382308432,150.0,1000.0
fr,0.2169097665325335,0.13545161306016704,8731,1000.0,1000.0,612.9186778766245,2.4516747115064983,0.9499484595120834,0.9759197335332815,0.2918933938332783,131.61238160291498,1000.0,1000.0
gr,0.25112472192951646,0.13995688891995153,8760,630.3623353034454,1000.0,472.075390411738,1.888301561646952,0.8469178082191781,0.9117919403926025,0.21418351757098644,106.1420511249502,300.0,1000.0
gr,0.25112472192951646,0.13995688891995153,8760,497.032860611492,1322.8533442097985,578.9488611745305,2.315795444698122,0.8821917808219178,0.9292565361876656,0.22136067855766825,104.88927843760902,300.0,inf
hr,0.25601277493115826,0.1344027470908823,8760,663.7616541138317,1000.0,475.1353055593679,1.9005412222374716,0.7848173515981736,0.8702978288400072,0.26682511223894223,120.68168331801274,300.0,1000.0
hr,0.25601277493115826,0.1344027470908823,8760,510.23793182221135,1429.7071889854333,585.2428687908476,2.3409714751633905,0.835730593607306,0.8951222265547057,0.2818651114990034,118.52871562271461,300.0,inf
hu,0.18558031513767814,0.09092241796300597,8760,795.7148654409032,1000.0,332.3946704307622,1.3295786817230486,0.6176940639269406,0.7483101298072904,0.19910504787073255,158.7289254893494,300.0,1000.0
hu,0.18558031513767814,0.09092241796300597,8760,611.0420848029929,1638.0197560683118,548.3156703440601,2.1932626813762406,0.7232876712328767,0.8101082944719327,0.1996791094936718,152.89273466090708,300.0,inf
it,0.20143119284617444,0.30582894634341645,8749,323.27587555138064,1000.0,728.8550171913392,2.915420068765357,0.9175905817807749,0.9429613574387,0.32298335388049304,90.0968308249206,300.0,1000.0
it,0.20143119284617444,0.30582894634341645,8749,239.07947062147838,1236.265228402459,783.5722745928771,3.134289098371508,0.9355354897702595,0.9544412032227123,0.39945545020593437,89.32029336735444,300.0,inf
